X,Y,Z
5.767154000000000233e+05,5.188191610000000335e+06,1.630699999999999932e+02
5.767162099999999627e+05,5.188190629999999888e+06,1.630800000000000125e+02
5.767170100000000093e+05,5.188189639999999665e+06,1.631500000000000057e+02
5.767179000000000233e+05,5.188188660000000149e+06,1.630699999999999932e+02
5.767216400000000140e+05,5.188184200000000186e+06,1.630500000000000114e+02
5.767224899999999907e+05,5.188183259999999776e+06,1.629799999999999898e+02
5.767233499999999767e+05,5.188182290000000037e+06,1.628700000000000045e+02
5.767242399999999907e+05,5.188181330000000075e+06,1.627599999999999909e+02
5.767250999999999767e+05,5.188180360000000335e+06,1.626500000000000057e+02
5.767259599999999627e+05,5.188179370000000112e+06,1.626100000000000136e+02
5.767268200000000652e+05,5.188178379999999888e+06,1.625699999999999932e+02
5.767277000000000698e+05,5.188177410000000149e+06,1.625200000000000102e+02
5.767285700000000652e+05,5.188176400000000373e+06,1.624600000000000080e+02
5.767294400000000605e+05,5.188175400000000373e+06,1.623799999999999955e+02
5.767303200000000652e+05,5.188174389999999665e+06,1.623499999999999943e+02
5.767312099999999627e+05,5.188173370000000112e+06,1.622899999999999920e+02
5.767320999999999767e+05,5.188172360000000335e+06,1.622100000000000080e+02
5.767330300000000279e+05,5.188171350000000559e+06,1.621100000000000136e+02
5.767351500000000233e+05,5.188168950000000186e+06,1.618900000000000148e+02
5.767362299999999814e+05,5.188167770000000484e+06,1.617800000000000011e+02
5.767372900000000373e+05,5.188166610000000335e+06,1.616400000000000148e+02
5.767382900000000373e+05,5.188165520000000484e+06,1.615000000000000000e+02
5.767392099999999627e+05,5.188164480000000447e+06,1.614600000000000080e+02
5.767401500000000233e+05,5.188163410000000149e+06,1.613700000000000045e+02
5.767411300000000047e+05,5.188162320000000298e+06,1.612500000000000000e+02
5.767421400000000140e+05,5.188161219999999739e+06,1.611400000000000148e+02
5.767430700000000652e+05,5.188160160000000149e+06,1.611100000000000136e+02
5.767441300000000047e+05,5.188159000000000000e+06,1.609099999999999966e+02
5.767138900000000140e+05,5.188193310000000522e+06,1.630399999999999920e+02
5.767148599999999860e+05,5.188192129999999888e+06,1.631200000000000045e+02
5.767156900000000605e+05,5.188191179999999702e+06,1.630699999999999932e+02
5.767164799999999814e+05,5.188190190000000410e+06,1.630900000000000034e+02
5.767172800000000279e+05,5.188189219999999739e+06,1.631599999999999966e+02
5.767181099999999860e+05,5.188188310000000522e+06,1.630800000000000125e+02
5.767219200000000419e+05,5.188183790000000037e+06,1.630300000000000011e+02
5.767227800000000279e+05,5.188182839999999851e+06,1.629200000000000159e+02
5.767236600000000326e+05,5.188181879999999888e+06,1.628300000000000125e+02
5.767245300000000279e+05,5.188180900000000373e+06,1.627199999999999989e+02
5.767254100000000326e+05,5.188179929999999702e+06,1.626299999999999955e+02
5.767262600000000093e+05,5.188178929999999702e+06,1.625999999999999943e+02
5.767270999999999767e+05,5.188177959999999963e+06,1.625699999999999932e+02
5.767280000000000000e+05,5.188176959999999963e+06,1.624799999999999898e+02
5.767288800000000047e+05,5.188175969999999739e+06,1.624099999999999966e+02
5.767297800000000279e+05,5.188174959999999963e+06,1.623300000000000125e+02
5.767305700000000652e+05,5.188173940000000410e+06,1.624200000000000159e+02
5.767315300000000279e+05,5.188172940000000410e+06,1.622400000000000091e+02
5.767324100000000326e+05,5.188171919999999925e+06,1.621899999999999977e+02
5.767333599999999860e+05,5.188170879999999888e+06,1.620600000000000023e+02
5.767355200000000186e+05,5.188168469999999739e+06,1.618499999999999943e+02
5.767365000000000000e+05,5.188167360000000335e+06,1.617500000000000000e+02
5.767374699999999721e+05,5.188166299999999814e+06,1.616100000000000136e+02
5.767384699999999721e+05,5.188165209999999963e+06,1.614699999999999989e+02
5.767393599999999860e+05,5.188164179999999702e+06,1.614699999999999989e+02
5.767403299999999581e+05,5.188163089999999851e+06,1.613600000000000136e+02
5.767413800000000047e+05,5.188161980000000447e+06,1.611800000000000068e+02
5.767423000000000466e+05,5.188160910000000149e+06,1.611599999999999966e+02
5.767432700000000186e+05,5.188159830000000075e+06,1.610600000000000023e+02
5.767443299999999581e+05,5.188158700000000186e+06,1.608799999999999955e+02
5.767141700000000419e+05,5.188192870000000112e+06,1.630699999999999932e+02
5.767151600000000326e+05,5.188191639999999665e+06,1.631400000000000148e+02
5.767160300000000279e+05,5.188190660000000149e+06,1.630800000000000125e+02
5.767168399999999674e+05,5.188189650000000373e+06,1.631500000000000057e+02
5.767177099999999627e+05,5.188188669999999925e+06,1.630900000000000034e+02
5.767213299999999581e+05,5.188184370000000112e+06,1.630600000000000023e+02
5.767221900000000605e+05,5.188183410000000149e+06,1.630000000000000000e+02
5.767230400000000373e+05,5.188182450000000186e+06,1.628900000000000148e+02
5.767239200000000419e+05,5.188181500000000000e+06,1.627899999999999920e+02
5.767248000000000466e+05,5.188180520000000484e+06,1.626599999999999966e+02
5.767256600000000326e+05,5.188179549999999814e+06,1.625999999999999943e+02
5.767265100000000093e+05,5.188178549999999814e+06,1.625800000000000125e+02
5.767273599999999860e+05,5.188177560000000522e+06,1.625399999999999920e+02
5.767282600000000093e+05,5.188176570000000298e+06,1.624699999999999989e+02
5.767291300000000047e+05,5.188175560000000522e+06,1.624000000000000057e+02
5.767300000000000000e+05,5.188174570000000298e+06,1.623600000000000136e+02
5.767308699999999953e+05,5.188173549999999814e+06,1.623300000000000125e+02
5.767318399999999674e+05,5.188172480000000447e+06,1.622100000000000080e+02
5.767327500000000000e+05,5.188171459999999963e+06,1.621400000000000148e+02
5.767338800000000047e+05,5.188170169999999925e+06,1.620699999999999932e+02
5.767359599999999627e+05,5.188167889999999665e+06,1.618000000000000114e+02
5.767370400000000373e+05,5.188166679999999702e+06,1.616700000000000159e+02
5.767380200000000186e+05,5.188165610000000335e+06,1.615300000000000011e+02
5.767389699999999721e+05,5.188164549999999814e+06,1.614500000000000171e+02
5.767398699999999953e+05,5.188163480000000447e+06,1.614099999999999966e+02
5.767408800000000047e+05,5.188162400000000373e+06,1.612800000000000011e+02
5.767418699999999953e+05,5.188161310000000522e+06,1.611700000000000159e+02
5.767428000000000466e+05,5.188160230000000447e+06,1.611200000000000045e+02
5.767438699999999953e+05,5.188159080000000075e+06,1.609300000000000068e+02
5.767137099999999627e+05,5.188193330000000075e+06,1.630300000000000011e+02
5.767146500000000233e+05,5.188192179999999702e+06,1.631299999999999955e+02
5.767154599999999627e+05,5.188191250000000000e+06,1.630699999999999932e+02
5.767162800000000279e+05,5.188190270000000484e+06,1.630999999999999943e+02
5.767170500000000466e+05,5.188189250000000000e+06,1.632100000000000080e+02
5.767208599999999860e+05,5.188184799999999814e+06,1.631200000000000045e+02
5.767217000000000698e+05,5.188183839999999851e+06,1.630600000000000023e+02
5.767225600000000559e+05,5.188182889999999665e+06,1.629399999999999977e+02
5.767234400000000605e+05,5.188181929999999702e+06,1.628499999999999943e+02
5.767242900000000373e+05,5.188180980000000447e+06,1.627500000000000000e+02
5.767251900000000605e+05,5.188179990000000224e+06,1.626100000000000136e+02
5.767260300000000279e+05,5.188179009999999776e+06,1.626100000000000136e+02
5.767268800000000047e+05,5.188178009999999776e+06,1.625800000000000125e+02
5.767277600000000093e+05,5.188177030000000261e+06,1.624900000000000091e+02
5.767286400000000140e+05,5.188176009999999776e+06,1.624200000000000159e+02
5.767295400000000373e+05,5.188175030000000261e+06,1.623600000000000136e+02
5.767303800000000047e+05,5.188174000000000000e+06,1.623799999999999955e+02
5.767313399999999674e+05,5.188172950000000186e+06,1.622400000000000091e+02
5.767322299999999814e+05,5.188171950000000186e+06,1.622000000000000171e+02
5.767331600000000326e+05,5.188170900000000373e+06,1.620600000000000023e+02
5.767352399999999907e+05,5.188168530000000261e+06,1.619099999999999966e+02
5.767362199999999721e+05,5.188167490000000224e+06,1.617899999999999920e+02
5.767372199999999721e+05,5.188166370000000112e+06,1.616400000000000148e+02
5.767382199999999721e+05,5.188165310000000522e+06,1.615099999999999909e+02
5.767391199999999953e+05,5.188164259999999776e+06,1.614799999999999898e+02
5.767401099999999860e+05,5.188163169999999925e+06,1.613700000000000045e+02
5.767411099999999860e+05,5.188162070000000298e+06,1.612100000000000080e+02
5.767420300000000279e+05,5.188161000000000000e+06,1.611800000000000068e+02
5.767430100000000093e+05,5.188159889999999665e+06,1.610800000000000125e+02
5.767440700000000652e+05,5.188158750000000000e+06,1.608900000000000148e+02
5.767137900000000373e+05,5.188193150000000373e+06,1.630600000000000023e+02
5.767146900000000605e+05,5.188192049999999814e+06,1.631299999999999955e+02
5.767155300000000279e+05,5.188191060000000522e+06,1.630800000000000125e+02
5.767163299999999581e+05,5.188190070000000298e+06,1.630999999999999943e+02
5.767171800000000512e+05,5.188189040000000037e+06,1.631800000000000068e+02
5.767209100000000326e+05,5.188184669999999925e+06,1.630900000000000034e+02
5.767217500000000000e+05,5.188183709999999963e+06,1.630399999999999920e+02
5.767226099999999860e+05,5.188182759999999776e+06,1.629200000000000159e+02
5.767234699999999721e+05,5.188181810000000522e+06,1.628300000000000125e+02
5.767243399999999674e+05,5.188180839999999851e+06,1.627299999999999898e+02
5.767252299999999814e+05,5.188179860000000335e+06,1.626100000000000136e+02
5.767260600000000559e+05,5.188178870000000112e+06,1.626100000000000136e+02
5.767269200000000419e+05,5.188177860000000335e+06,1.625699999999999932e+02
5.767278000000000466e+05,5.188176879999999888e+06,1.624900000000000091e+02
5.767286900000000605e+05,5.188175870000000112e+06,1.624099999999999966e+02
5.767295799999999581e+05,5.188174870000000112e+06,1.623499999999999943e+02
5.767304500000000698e+05,5.188173810000000522e+06,1.623700000000000045e+02
5.767314000000000233e+05,5.188172799999999814e+06,1.622199999999999989e+02
5.767322600000000093e+05,5.188171790000000037e+06,1.622000000000000171e+02
5.767332099999999627e+05,5.188170750000000000e+06,1.620600000000000023e+02
5.767352500000000000e+05,5.188168450000000186e+06,1.618900000000000148e+02
